Name,Position,Total Score,Minutes Played,Cost,points_per_game,points_per_game_per_million,Bonus per 90,Points per 90,Points per million,Points per million per 90
Lanzini,3,106,2039,6.5,3.9,0.6,0.49,4.68,16.31,0.72
Antonio,3,62,1350,7.0,3.0,0.43,0.07,4.13,8.86,0.59
Arnautovic,4,144,2309,7.0,4.6,0.66,0.47,5.61,20.57,0.8
Chicharito,4,93,1537,6.5,3.3,0.51,0.82,5.45,14.31,0.84
Ward,2,41,1613,4.5,2.2,0.49,0.0,2.29,9.11,0.51
Foster,1,123,3330,4.5,3.3,0.73,0.3,3.32,27.33,0.74
Wilshere,3,46,1185,5.0,2.3,0.46,0.15,3.49,9.2,0.7
Kenedy,3,51,1023,5.0,3.9,0.78,0.44,4.49,10.2,0.9
Shaqiri,3,155,3039,7.5,4.3,0.57,0.56,4.59,20.67,0.61
Mawson,2,112,3420,5.0,2.9,0.58,0.18,2.95,22.4,0.59
